duracion11,duracion56,dpi_mean,dpi_std,max_cola_global_mean,max_cola_global_max,cola_promedio_mean,max_cola_norte_mean,max_cola_sureste1_mean,max_cola_sureste2_mean,throughput_mean,pvc_mean,n,score_dpi,score_cola,score_cola_prom,score_throughput,score_pvc,score_final
90.0,30.0,113.0670146,1.9860888059156132,2374.0,2496.0,1311.3333333333335,1555.8,2374.0,4.2,2176.6,0.982704,5,0.0,0.10621165644171775,0.27936122902769384,0.03760533266255828,0.01649227467133063,0.06685860803580666
60.0,30.0,116.29345459999999,1.025353978327144,2152.4,2284.0,1370.4,2143.6,1962.6,5.0,2178.8,0.9818386,5,0.0465220208500045,0.0,0.3689104507782496,0.034838385108791114,0.08478133926738995,0.07128775769718342
90.0,45.0,117.07558119999999,3.1557724461375867,2281.4,2464.0,1384.0666666666666,2281.4,1862.2,8.6,2179.5,0.9801662,5,0.05779950005077782,0.06182898773006135,0.38963007883565787,0.03395799270532007,0.21675110080014792,0.12159757364837911
75.0,30.0,115.7781022,1.358219528571578,2525.4,2677.0,1468.4666666666667,1875.6,2525.4,4.4,2156.2,0.9813447999999999,5,0.03909115739123908,0.17877684049079753,0.5175864160097029,0.06326248270657797,0.12374729731862677,0.14819474869996443
45.0,30.0,118.15705600000001,0.8794381799583778,2501.8,2636.0,1277.8,2501.8,1325.2,6.4,2155.1,0.979281,5,0.07339327932277905,0.16746549079754605,0.22852233676975942,0.06464595648346128,0.2866025914177036,0.15889497864496033
60.0,45.0,120.4721868,4.275728730141055,2836.4,2985.0,1376.9333333333332,2836.4,1280.6,13.8,2188.4,0.9819164,5,0.10677513776368831,0.3278374233128834,0.37881544370325426,0.022764432146899605,0.07864210974858432,0.18627017785770372
90.0,60.0,120.8938746,0.7481645635853081,2797.0,2919.0,1428.6666666666665,2797.0,1474.4,14.6,2206.5,0.9814222000000001,5,0.11285545186337484,0.30895322085889565,0.45724681625227387,0.0,0.11763963196185478,0.1957952098342795
75.0,45.0,119.6724876,0.7872592685070786,2587.6,2678.0,1510.4666666666667,2587.6,1933.2,10.6,2183.4,0.9800267999999999,5,0.09524427933888195,0.20858895705521463,0.5812613705275925,0.02905294931455149,0.22775121127472486,0.19773164515738834
30.0,30.0,127.2310902,3.9150711170213373,3081.0,3440.0,1168.4666666666667,3081.0,416.4,8.0,2139.7,0.9829129999999999,5,0.20423172920749832,0.44507285276073616,0.06276531231049133,0.0840145893598292,0.0,0.2094693647575024
90.0,90.0,124.67016880000001,3.326399077328172,3003.6,3157.0,1143.4666666666667,3003.6,398.2,28.6,2142.9,0.9802294,5,0.1673058174391028,0.4079754601226993,0.02486355366889037,0.07998993837253165,0.21176396319618018,0.2254225251119189
90.0,75.0,125.2192082,2.1943143081348273,3062.0,3321.0,1392.0666666666666,3062.0,1093.6,20.6,2176.5,0.9816134,5,0.17522241356804777,0.4359662576687116,0.4017586416009702,0.037731103005911204,0.10255196250177268,0.24781596833207048
75.0,90.0,127.89275659999998,3.9991678592838196,3229.6,3536.0,1127.0666666666666,3229.6,122.0,29.6,2080.5,0.981554,5,0.21377229343821294,0.5162960122699385,0.0,0.15847063262482708,0.10723924056625289,0.2563154030881787
75.0,60.0,124.3578464,1.6951572218512105,3037.4,3151.0,1448.5333333333333,3037.4,1291.2,17.0,2166.0,0.9782076,5,0.1628024424484865,0.4241756134969325,0.4873660804527996,0.050936989057980164,0.37130502027997403,0.3041847277906985
75.0,75.0,125.75263340000001,4.09862669101522,3273.2,3423.0,1322.4,3273.2,671.4,22.6,2149.5,0.9794302,5,0.1829138686319319,0.5371932515337422,0.29613907418637575,0.07168909571123128,0.2748291589728957,0.3077807848340421
45.0,45.0,123.81835019999998,1.4929168414453655,3373.4,3582.0,1258.8,3373.4,390.2,12.8,2151.6,0.9781722,5,0.15502344966854978,0.5852185582822086,0.1997170002021427,0.0690479185008176,0.37409844862142794,0.3237687839798091
60.0,60.0,125.51698619999999,3.056701048877155,3513.8,3624.0,1399.8,3513.8,667.4,18.2,2145.1,0.9799494,5,0.17951607293399674,0.6525115030674847,0.4134829189407721,0.07722299081876505,0.23385887663147054,0.34545063910269225
60.0,75.0,129.3279834,3.9500770397002105,3647.4,3867.0,1253.4666666666667,3647.4,83.4,29.6,2035.9,0.9787480000000001,5,0.23446682087839027,0.716545245398773,0.1916312916919346,0.21456420576028168,0.3286618373498642,0.3916555370983434
45.0,60.0,131.3487936,3.4439419978177366,3696.0,3775.0,1260.7333333333333,3696.0,67.0,19.2,2002.4,0.9800362,5,0.2636048721851872,0.7398389570552146,0.20264806953709327,0.2566972707835492,0.22700945346652768,0.3923695734974903
60.0,90.0,138.4415904,0.67956313673404,3438.4,3551.0,1218.9333333333332,3438.4,32.6,185.8,1903.2,0.9775427999999999,5,0.3658758707515469,0.6163726993865031,0.13927632908833618,0.3814614513897623,0.42376465760775406,0.43150128061077575
30.0,45.0,136.0262502,1.8697234473369801,3922.6,3994.0,1318.7333333333333,3922.6,20.6,13.0,1895.2,0.979636,5,0.3310490935158772,0.8484470858895704,0.2905801495856075,0.3915230788580053,0.25858939759796684,0.47377705618558896
45.0,75.0,144.01311579999998,2.070537500114922,3904.6,4097.0,1484.4,3904.6,19.6,529.0,1807.8,0.9750327999999999,5,0.44621166525729605,0.8398197852760735,0.5417424701839499,0.50144635894856,0.6218297744740662,0.6144942729680751
45.0,90.0,156.61244860000002,1.329866964627589,3603.8,3724.0,1476.2,3603.8,14.4,810.4,1678.6,0.9717472,5,0.6278813765235053,0.6956480061349694,0.5293106933495048,0.6639416425606843,0.8810978015561101,0.6926036086997833
30.0,60.0,153.0997154,1.6108209219079241,4238.8,4381.0,1616.5333333333333,4238.8,13.4,597.4,1689.4,0.976002,5,0.5772312955764232,1.0,0.7420658985243581,0.650358445478556,0.5453498098259182,0.7214817850384019
30.0,75.0,167.01322,2.4512999848708965,4133.0,4342.0,1786.6666666666667,4133.0,8.0,1219.0,1539.9,0.9725092,5,0.7778500428947781,0.9492906441717791,1.0,0.838385108791347,0.8209680728500881,0.8661743315691195
30.0,90.0,182.41997780000003,1.3250325498751765,3750.2,3808.0,1690.0666666666668,3750.2,11.0,1309.0,1411.4,0.9702404,5,1.0,0.7658167177914109,0.853547604608854,1.0,1.0,0.9150997757983086
