id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,29.075761,32.000000,2.000000,0.000000,3258.500000,0.993445
2,28.576553,4.000000,6.000000,0.000000,3215.500000,0.996282
3,28.341339,9.000000,3.000000,0.000000,3218.000000,0.995206
4,28.160853,5.000000,4.000000,0.000000,3172.000000,0.994669
5,28.965102,22.000000,3.000000,0.000000,3220.500000,0.993981
6,28.995649,9.000000,3.000000,0.000000,3257.500000,0.993140
7,28.289825,5.000000,3.000000,0.000000,3246.000000,0.993876
8,29.082072,5.000000,3.000000,0.000000,3276.500000,0.994084
9,29.479680,6.000000,2.000000,0.000000,3262.000000,0.994361
10,29.547153,10.000000,5.000000,0.000000,3313.500000,0.992660
11,29.422731,7.000000,5.000000,0.000000,3257.500000,0.995264
12,28.692946,4.000000,2.000000,0.000000,3246.500000,0.995401
13,28.600220,6.000000,3.000000,0.000000,3295.000000,0.993817
14,29.342476,8.000000,7.000000,0.000000,3272.500000,0.992418
15,29.152785,7.000000,4.000000,0.000000,3232.500000,0.994157
16,28.757810,10.000000,4.000000,0.000000,3252.000000,0.993584
17,29.053246,10.000000,6.000000,0.000000,3256.500000,0.993593
18,28.727826,5.000000,3.000000,0.000000,3267.500000,0.993916
19,29.202332,9.000000,4.000000,0.000000,3261.000000,0.993148
20,28.647812,6.000000,3.000000,0.000000,3258.500000,0.996331
21,29.604710,10.000000,4.000000,0.000000,3280.500000,0.995146
22,28.896782,7.000000,5.000000,0.000000,3235.000000,0.994467
23,29.485800,6.000000,4.000000,0.000000,3258.500000,0.993900
24,28.764592,11.000000,3.000000,0.000000,3218.500000,0.992905
25,28.834881,15.000000,2.000000,0.000000,3282.500000,0.994998
26,29.103408,7.000000,2.000000,0.000000,3248.500000,0.992666
27,28.653196,8.000000,5.000000,0.000000,3239.000000,0.994321
28,28.589929,8.000000,2.000000,0.000000,3214.500000,0.994278
29,28.467568,8.000000,1.000000,0.000000,3190.000000,0.993151
30,28.980997,4.000000,5.000000,0.000000,3200.500000,0.995026
